tag,solver,budget_s,n_slips,seed,n_frag,n_arcs,solve_s,status,objective,bound,gap,n_components,max_component,obj_vs_ref,precision,recall,f1,exact_slip,clean_fragments,n_pred,n_true,ari,same_slip_precision,cross_slip_joins,cross_slip_rate
scale,decomposed,1500.0,400,2,1105,1453,104.74678635597229,OPTIMAL,4831.824000000001,4831.824000000001,0.0,135.0,916.0,1.8189894035458565e-12,0.6754032258064516,0.7330415754923414,0.7030430220356769,0.4275618374558304,0.4497737556561086,496,457,0.6728073385542462,0.9173387096774194,41,0.08266129032258063
scale,monolithic,240.0,900,0,2572,3628,240.32737851142883,FEASIBLE,11264.146,11324.918,0.005395171546959707,,,,0.6587637595258256,0.7150735294117647,0.6857646540326134,0.3942857142857143,0.41018662519440124,1181,1088,0.627154135157816,0.9051651143099069,112,0.09483488569009313
scale,monolithic,1500.0,900,0,2572,3628,1500.4163336753845,FEASIBLE,11268.353,11474.163,0.01826442604345107,,,4.206999999998516,0.6596461668070767,0.7196691176470589,0.6883516483516484,0.39571428571428574,0.41135303265940903,1187,1088,0.6330551310600826,0.9056444818871103,112,0.09435551811288967
scale,decomposed,1500.0,900,0,2572,3628,1500.7041704654694,FEASIBLE,11269.969000000008,11336.182000000008,0.005875171440134368,237.0,2234.0,1.6160000000090804,0.6585365853658537,0.7196691176470589,0.6877470355731226,0.3942857142857143,0.4105754276827372,1189,1088,0.631633791382727,0.9049621530698065,113,0.09503784693019346
scale,monolithic,240.0,900,1,2506,3383,240.3752236366272,FEASIBLE,10785.03,10890.61,0.009789495254069762,,,,0.6376021798365122,0.6999002991026919,0.6673003802281369,0.38291605301914583,0.42019154030327216,1101,1003,0.6185725181817149,0.9055404178019982,104,0.09445958219800177
scale,monolithic,1500.0,900,1,2506,3383,1500.4710149765015,FEASIBLE,10787.358,10901.197,0.010553001022122376,,,2.32799999999952,0.6376021798365122,0.6999002991026919,0.6673003802281369,0.38144329896907214,0.4197924980047885,1101,1003,0.6177771463972278,0.9046321525885559,105,0.0953678474114441
scale,decomposed,1500.0,900,1,2506,3383,1500.8166210651398,FEASIBLE,10787.358,10850.314999999999,0.005836183428787523,278.0,2116.0,0.0,0.6376021798365122,0.6999002991026919,0.6673003802281369,0.38144329896907214,0.4197924980047885,1101,1003,0.6177771463972278,0.9046321525885559,105,0.0953678474114441
scale,monolithic,240.0,900,2,2543,3508,240.39606928825378,FEASIBLE,11188.004,11261.987,0.006612707682263967,,,,0.6689536878216124,0.7235621521335807,0.6951871657754011,0.4125560538116592,0.43570585922139204,1166,1078,0.6464657332900358,0.9013722126929674,115,0.09862778730703259
scale,monolithic,1500.0,900,2,2543,3508,1500.5149483680725,FEASIBLE,11188.064,11455.643,0.023916470266884423,,,0.05999999999949068,0.6683804627249358,0.7235621521335807,0.6948775055679288,0.4110612855007474,0.43570585922139204,1167,1078,0.6465113872477501,0.9005998286203942,116,0.09940017137960577
scale,decomposed,1500.0,900,2,2543,3508,1502.79456615448,FEASIBLE,11188.984000000002,11272.400000000001,0.007455189854592628,251.0,2217.0,0.9200000000018917,0.6703767123287672,0.7263450834879406,0.697239536954586,0.414050822122571,0.4388517499016909,1168,1078,0.6505513257312714,0.9023972602739726,114,0.0976027397260274
